"4.1.1 " , "General " , "General special functions " , "Connection " , "Connection definition " , "Connection, general"
"4.1.4 " , "General " , "General special functions " , "Connection " , "Connection definition " , "Conductor / wire"
"4.1.5 " , "General " , "General special functions " , "Connection " , "Connection definition " , "Internal jumper"
"4.1.6 " , "General " , "General special functions " , "Connection " , "Connection definition " , "Jumper"
"4.1.7 " , "General " , "General special functions " , "Connection " , "Connection definition " , "Saddle jumper"
"4.1.8 " , "General " , "General special functions " , "Connection " , "Connection definition " , "Insertable jumper"
"4.1.9 " , "General " , "General special functions " , "Connection " , "Connection definition " , "Wire jumper"
"4.1.10 " , "General " , "General special functions " , "Connection " , "Connection definition " , "Direct connection"
"4.1.11 " , "General " , "General special functions " , "Connection " , "Connection definition " , "Optical fiber"
"4.1.12 " , "General " , "General special functions " , "Connection " , "Connection definition " , "Transmission path"
"4.1.13 " , "General " , "General special functions " , "Connection " , "Connection definition " , "Non-electrical connection"
"4.1.14 " , "General " , "General special functions " , "Connection " , "Connection definition " , "Functional connection (software)"
"4.1.15 " , "General " , "General special functions " , "Connection " , "Connection definition " , "Tube"
"4.1.16 " , "General " , "General special functions " , "Connection " , "Connection definition " , "Pipe"
"4.1.17 " , "General " , "General special functions " , "Connection " , "Connection definition " , "Internal"
"4.1.18 " , "General " , "General special functions " , "Connection " , "Connection definition " , "Process engineering"
"4.1.19 " , "General " , "General special functions " , "Connection " , "Connection definition " , "Switching jumper"
"4.1.20 " , "General " , "General special functions " , "Connection " , "Connection definition " , "Phase busbar connection"
"5.90.1 " , "General " , "General special functions " , "Change-over contact hook " , "Change-over contact hook, 1 connection point " , "Change-over contact hook, NC contact (three-path) (do not use anymore)"
"5.90.2 " , "General " , "General special functions " , "Change-over contact hook " , "Change-over contact hook, 1 connection point " , "Change-over contact, center (three-path) (do not use anymore)"
"5.90.3 " , "General " , "General special functions " , "Change-over contact hook " , "Change-over contact hook, 1 connection point " , "Change-over contact hook, NO contact (three-path) (do not use anymore)"
"5.90.4 " , "General " , "General special functions " , "Change-over contact hook " , "Change-over contact hook, 1 connection point " , "Change-over contact hook, NO contact (two-path) (do not use anymore)"
"6.1.1 " , "General " , "General special functions " , "Additional coil connection point " , "Additional coil connection point, 1 connection point " , "Additional coil connection point, 1 connection point (do not use anymore)"
"6.2.1 " , "General " , "General special functions " , "Additional coil connection point " , "Additional coil connection point, 2 connection points " , "Additional coil connection point, 2 connection points (do not use anymore)"
"7.1.1 " , "General " , "General special functions " , "Mounting panel " , "Mounting panel " , "Mounting panel"
"8.1.1 " , "General " , "General special functions " , "Part placement " , "Part placement " , "Part placement, general device"
"8.1.2 " , "General " , "General special functions " , "Part placement " , "Part placement " , "Part placement, terminal strip"
"8.1.3 " , "General " , "General special functions " , "Part placement " , "Part placement " , "Part placement, terminal"
"8.1.4 " , "General " , "General special functions " , "Part placement " , "Part placement " , "Part placement, plug (male / female pin)"
"8.1.5 " , "General " , "General special functions " , "Part placement " , "Part placement " , "Part placement, plug (female pin)"
"8.1.6 " , "General " , "General special functions " , "Part placement " , "Part placement " , "Part placement, plug (male pin)"
"8.1.7 " , "General " , "General special functions " , "Part placement " , "Part placement " , "Part placement, PLC card"
"8.1.8 " , "General " , "General special functions " , "Part placement " , "Part placement " , "Part placement, general fluid device"
"8.1.9 " , "General " , "General special functions " , "Part placement " , "Part placement " , "Part placement, fluid distributor"
"8.1.10 " , "General " , "General special functions " , "Part placement " , "Part placement " , "Part placement, busbar"
"8.1.11 " , "General " , "General special functions " , "Part placement " , "Part placement " , "Part placement, black box"
"8.1.12 " , "General " , "General special functions " , "Part placement " , "Part placement " , "Part placement, cable"
"8.1.13 " , "General " , "General special functions " , "Part placement " , "Part placement " , "Part placement, pin (male / female pin)"
"8.1.14 " , "General " , "General special functions " , "Part placement " , "Part placement " , "Part placement, pin (female pin)"
"8.1.15 " , "General " , "General special functions " , "Part placement " , "Part placement " , "Part placement, pin (male pin)"
"8.1.16 " , "General " , "General special functions " , "Part placement " , "Part placement " , "Part placement, busbar connection"
"8.1.17 " , "General " , "General special functions " , "Part placement " , "Part placement " , "Part placement, wire harness"
"9.98.1 " , "General " , "General special functions " , "Functional function (software) " , "Graphic " , "Graphic"
"9.99.1 " , "General " , "General special functions " , "Functional function (software) " , "Functional function (software), variable " , "Functional function (software)"
"10.1.1 " , "General " , "General special functions " , "Part definition " , "Part definition " , "Part definition point"
"11.1.1 " , "General " , "General special functions " , "Functional placement " , "Functional placement " , "Functional placement, general device"
"11.1.2 " , "General " , "General special functions " , "Functional placement " , "Functional placement " , "Functional placement, general fluid device"
"11.1.3 " , "General " , "General special functions " , "Functional placement " , "Functional placement " , "Functional placement, mechanical devices"
"11.1.4 " , "General " , "General special functions " , "Functional placement " , "Functional placement " , "Functional placement, process-engineering devices"
"15.1.1 " , "General " , "General special functions " , "Insulated wire termination " , "Insulated wire termination " , "Insulated wire termination, general device"
"15.1.2 " , "General " , "General special functions " , "Insulated wire termination " , "Insulated wire termination " , "Insulated wire termination, terminal strip"
"15.1.3 " , "General " , "General special functions " , "Insulated wire termination " , "Insulated wire termination " , "Insulated wire termination, plug (male / female pin)"
"15.1.4 " , "General " , "General special functions " , "Insulated wire termination " , "Insulated wire termination " , "Insulated wire termination, PLC card"
"15.1.5 " , "General " , "General special functions " , "Insulated wire termination " , "Insulated wire termination " , "Insulated wire termination, general fluid device"
"15.1.6 " , "General " , "General special functions " , "Insulated wire termination " , "Insulated wire termination " , "Insulated wire termination, fluid distributor"
"15.1.7 " , "General " , "General special functions " , "Insulated wire termination " , "Insulated wire termination " , "Insulated wire termination, busbar"
"15.1.8 " , "General " , "General special functions " , "Insulated wire termination " , "Insulated wire termination " , "Insulated wire termination, black box"
"15.1.9 " , "General " , "General special functions " , "Insulated wire termination " , "Insulated wire termination " , "Insulated wire termination, plug (male pin)"
"15.1.10 " , "General " , "General special functions " , "Insulated wire termination " , "Insulated wire termination " , "Insulated wire termination, plug (female pin)"
"21.1.1 " , "General " , "General special functions " , "Topology routing track " , "Topology routing point " , "Topology routing point"
"21.1.2 " , "General " , "General special functions " , "Topology routing track " , "Topology routing point " , "Topology structure routing point"
"21.2.1 " , "General " , "General special functions " , "Topology routing track " , "Topology routing path " , "Topology routing path"
"21.3.1 " , "General " , "General special functions " , "Topology routing track " , "Topology partial routing path " , "Topology partial routing path"
"22.1.1 " , "General " , "General special functions " , "Wire harness " , "Wire harness " , "Wire harness definition"
"100.2.0 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, 2 connection points (do not use anymore) " , "Terminal, general (do not use anymore)"
"100.2.1 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, 2 connection points (do not use anymore) " , "Feed-through terminal, 2 targets (do not use anymore)"
"100.2.2 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, 2 connection points (do not use anymore) " , "Feed-through terminal, 2 targets, with saddle jumper (do not use anymore)"
"100.2.3 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, 2 connection points (do not use anymore) " , "Feed-through terminal, 3 targets (do not use anymore)"
"100.2.4 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, 2 connection points (do not use anymore) " , "Feed-through terminal, 3 targets, with saddle jumper (do not use anymore)"
"100.2.5 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, 2 connection points (do not use anymore) " , "Feed-through terminal, 4 targets (do not use anymore)"
"100.2.6 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, 2 connection points (do not use anymore) " , "Feed-through terminal, 4 targets, with saddle jumper (do not use anymore)"
"100.2.7 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, 2 connection points (do not use anymore) " , "N-feed-through terminal, 2 targets, with saddle jumper (do not use anymore)"
"100.2.8 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, 2 connection points (do not use anymore) " , "N isolating terminal, 1 target, with saddle jumper (do not use anymore)"
"100.2.9 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, 2 connection points (do not use anymore) " , "N-feed-through terminal, 4 targets, with saddle jumper (do not use anymore)"
"100.2.10 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, 2 connection points (do not use anymore) " , "N isolating terminal, 4 targets, with 2*N (do not use anymore)"
"100.2.11 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, 2 connection points (do not use anymore) " , "PE isolating terminal, 4 targets, with 2*PE (do not use anymore)"
"100.2.12 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, 2 connection points (do not use anymore) " , "PE terminal, 2 targets (do not use anymore)"
"100.2.13 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, 2 connection points (do not use anymore) " , "PE terminal, 4 targets (do not use anymore)"
"100.2.14 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, 2 connection points (do not use anymore) " , "PE for actuator terminal, 2 targets (do not use anymore)"
"100.2.15 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, 2 connection points (do not use anymore) " , "N for actuator terminal, 2 targets, with saddle jumper (do not use anymore)"
"100.2.16 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, 2 connection points (do not use anymore) " , "~ for actuator terminal, 2 targets, with saddle jumper (do not use anymore)"
"100.2.17 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, 2 connection points (do not use anymore) " , "+ for actuator terminal, 2 targets, with saddle jumper (do not use anymore)"
"100.2.18 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, 2 connection points (do not use anymore) " , "- for actuator terminal, 2 targets, with saddle jumper (do not use anymore)"
"100.2.19 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, 2 connection points (do not use anymore) " , "Terminal / plug-in adapter, 2 targets, with saddle jumper (do not use anymore)"
"100.2.20 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, 2 connection points (do not use anymore) " , "Terminal connection point / plug-in adapter, 2 targets, with saddle jumper (do not use anymore)"
"100.2.22 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, 2 connection points (do not use anymore) " , "Two-wire initiator, actuator terminal, 2 targets (do not use anymore)"
"100.2.23 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, 2 connection points (do not use anymore) " , "Two-wire initiator, actuator terminal, 3 targets (do not use anymore)"
"100.2.24 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, 2 connection points (do not use anymore) " , "Two-wire initiator, actuator terminal, 2 (4) targets (do not use anymore)"
"100.2.25 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, 2 connection points (do not use anymore) " , "Three-wire initiator, actuator terminal, 2 (3) targets (do not use anymore)"
"100.2.26 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, 2 connection points (do not use anymore) " , "Three-wire initiator, actuator terminal, 2 (4) targets (do not use anymore)"
"100.2.27 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, 2 connection points (do not use anymore) " , "Three-wire initiator, actuator terminal, 2 (5) targets (do not use anymore)"
"100.2.29 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, 2 connection points (do not use anymore) " , "Isolating terminal, 2 targets (do not use anymore)"
"100.2.30 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, 2 connection points (do not use anymore) " , "LED terminal (do not use anymore)"
"100.2.31 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, 2 connection points (do not use anymore) " , "Fused terminal, 2 targets (do not use anymore)"
"100.2.32 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, 2 connection points (do not use anymore) " , "Diode component / multipath terminal, 2 targets (do not use anymore)"
"100.2.48 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, 2 connection points (do not use anymore) " , "Following terminal (do not use anymore)"
"100.2.49 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, 2 connection points (do not use anymore) " , "Fused terminal with LED, 4 (do not use anymore)"
"100.2.50 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, 2 connection points (do not use anymore) " , "Isolating terminal, 4 targets (do not use anymore)"
"100.2.51 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, 2 connection points (do not use anymore) " , "N-feed-through terminal, 3 targets, with saddle jumper (do not use anymore)"
"100.2.52 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, 2 connection points (do not use anymore) " , "PE terminal, 3 targets (do not use anymore)"
"100.2.53 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, 2 connection points (do not use anymore) " , "SH feed-through terminal, 2 targets, with saddle jumper (do not use anymore)"
"100.2.54 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, 2 connection points (do not use anymore) " , "SH for actuator terminal, 2 targets, with saddle jumper (do not use anymore)"
"100.2.55 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminal, 2 connection points (do not use anymore) " , "SH isolating terminal, 1 target, with saddle jumper (do not use anymore)"
"100.3.0 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 1 connection point " , "Terminal, general, 1 connection point"
"100.3.1 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 1 connection point " , "Terminal, 1 connection point"
"100.3.2 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 1 connection point " , "N-terminal, 1 connection point"
"100.3.3 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 1 connection point " , "PE terminal, 1 connection point"
"100.3.4 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 1 connection point " , "SH terminal, 1 connection point"
"100.4.0 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 1 connection point " , "Terminal, general, with saddle jumper, 1 connection point"
"100.4.1 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 1 connection point " , "Terminal with saddle jumper, 1 connection point"
"100.4.2 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 1 connection point " , "N-terminal with saddle jumper, 1 connection point"
"100.4.3 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 1 connection point " , "PE terminal with rail contact, 1 connection points"
"100.4.4 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 1 connection point " , "SH terminal with saddle jumper, 1 connection point"
"100.5.0 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 2 connection points " , "Terminal, general, 2 connection points"
"100.5.1 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 2 connection points " , "Terminal, 2 connection points"
"100.5.2 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 2 connection points " , "N-terminal, 2 connection points"
"100.5.3 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 2 connection points " , "PE terminal, 2 connection points"
"100.5.4 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 2 connection points " , "SH terminal, 2 connection points"
"100.6.0 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 2 connection points " , "Terminal, general, with saddle jumper, 2 connection points"
"100.6.1 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 2 connection points " , "Terminal with saddle jumper, 2 connection points"
"100.6.2 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 2 connection points " , "N-terminal with saddle jumper, 2 connection points"
"100.6.3 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 2 connection points " , "PE terminal with rail contact, 2 connection points"
"100.6.4 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 2 connection points " , "SH terminal with saddle jumper, 2 connection points"
"100.7.0 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 3 connection points " , "Terminal, general, 3 connection points"
"100.7.1 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 3 connection points " , "Terminal, 3 connection points"
"100.7.2 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 3 connection points " , "N-terminal, 3 connection points"
"100.7.3 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 3 connection points " , "PE terminal, 3 connection points"
"100.7.4 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals, 3 connection points " , "SH terminal, 3 connection points"
"100.8.0 " , "Electrical engineering " , "Terminals and plugs " , "Terminal " , "Terminals with saddle jumper, 3 connection points " , "Terminal, general, with saddle jumper, 3 connection points"
